epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.4297,0.3613,0.93056,1,0.11656,0.00043342,0.00043342,0.00043342
2,28.9257,0.0811,1,1,0.01531,0.000854354,0.000854354,0.000854354
3,41.9816,0.03935,0.99653,1,0.0065,0.00124558,0.00124558,0.00124558
4,58.8079,0.04266,0.99306,1,0.02716,0.00150197,0.00150197,0.00150197
5,74.0169,0.07124,0.98611,1,0.04231,0.00144696,0.00144696,0.00144696
6,87.058,0.05099,0.99653,1,0.01902,0.00139195,0.00139195,0.00139195
7,100.266,0.03742,0.99653,1,0.0064,0.00133693,0.00133693,0.00133693
8,113.516,0.02498,1,1,0.00335,0.00128192,0.00128192,0.00128192
9,126.499,0.03751,1,1,0.00236,0.00122691,0.00122691,0.00122691
10,139.399,0.03308,1,1,0.00218,0.0011719,0.0011719,0.0011719
11,152.674,0.01755,1,1,0.00278,0.00111689,0.00111689,0.00111689
12,165.652,0.02926,0.99653,1,0.00841,0.00106188,0.00106188,0.00106188
